"dataset","pipeline","run_dir","n_universe","n_de","de_fraction","de_policy_level_or_ladder","n_tier1","n_tier2","n_candidates","n_final","final_source","agreement_source","mean_stability_go","mean_stability_wp","consensus_pairs","notes"
"dataset_0","pipelineA","results/pipelineA/DATASE_0_BASELINE_2026-03-01_18-00-42",6992,1363,0.1949,NA,11,41,85,11,"tier1",NA,0.452,0.9394,7,"de_policy.yml missing (older run; DE fields derived from text files)"
"dataset_1","pipelineA","results/pipelineA/DATASE_1_BASELINE_2026-03-03_15-00-39",7300,1820,0.2493,"L1: |log2FC| >= 0.5; L2: |log2FC| >= 1.0; L3: p < 0.001",0,20,58,20,"tier2",NA,0.3076,0.98,0,""
"dataset_2","pipelineA","results/pipelineA/DATASET_2_BASELINE_2026-03-04_11-29-07",823,177,0.2151,"none",0,0,17,17,"candidates",NA,6e-04,NA,0,""
"dataset_3","pipelineA","results/pipelineA/DATASET_3_BASELINE_2026-03-04_14-54-56",7052,651,0.0923,"L1: |log2FC| >= 0.5",2,22,48,22,"tier2",NA,0.3265,0.9759,1,""
"dataset_0","pipelineB","results/pipelineB/DATASE_0_BASELINE_2026-03-01_18-04-29",6992,NA,NA,NA,NA,NA,NA,10,"solo",NA,NA,NA,0,"agreement_source not available (older run format)"
"dataset_1","pipelineB","results/pipelineB/DATASE_1_BASELINE_2026-03-04_09-54-24",7321,NA,NA,NA,NA,NA,NA,10,"solo",NA,NA,NA,0,"agreement_source not available (older run format)"
"dataset_2","pipelineB","results/pipelineB/DATASET_2_BASELINE_2026-03-04_14-43-36",827,NA,NA,NA,NA,NA,NA,10,"fallback_topn_last_resort","topn",NA,NA,0,""
"dataset_3","pipelineB","results/pipelineB/DATASET_3_BASELINE_2026-03-04_12-32-56",7073,NA,NA,NA,NA,NA,NA,10,"solo","strict_intersection",NA,NA,0,""
"ACTA2KO_iVSMC","pipelineA","results/pipelineA/2026-05-28_15-46-02",7070,447,0.0632,"L1: |log2FC| >= 0.5",4,27,98,27,"tier2",NA,NA,NA,3,""
"ACTA2KO_iVSMC","pipelineB","results/pipelineB/2026-05-28_16-26-26",7134,NA,NA,NA,NA,NA,NA,10,"solo","strict_intersection",NA,NA,0,""
