ID,Description,p.adjust,k,K,cluster,hit_frac,rank_in_cluster,cluster_size
WP2446,Retinoblastoma gene in cancer,1.1478195472023457e-6,23,87,1,0.26436781609195403,1,2
WP2806,Complement system,2.153425269543807e-5,18,68,2,0.2647058823529412,1,1
WP3624,Lung fibrosis,1.3300866888460333e-4,13,42,3,0.30952380952380953,1,1
WP466,DNA replication,5.386382355316237e-4,12,41,4,0.2926829268292683,1,1
WP5390,Pancreatic cancer subtypes,0.00227376880726506,8,22,5,0.36363636363636365,1,1
WP1591,Heart development,0.00236312624889572,11,42,6,0.2619047619047619,1,1
WP383,Striated muscle contraction pathway,0.00336538516258788,9,30,7,0.3,1,1
WP2361,Gastric cancer network 1,0.00730276997515698,8,27,8,0.2962962962962963,1,1
WP2406,Cardiac progenitor differentiation,0.00730276997515698,11,49,9,0.22448979591836735,1,1
WP3617,Photodynamic therapy induced NF kB survival signaling,0.00841310623543139,8,28,10,0.2857142857142857,1,1
WP1533,Vitamin B12 metabolism,0.01157579699771016,9,37,11,0.24324324324324326,1,2
WP2848,Pluripotent stem cell differentiation pathway,0.01157579699771016,9,37,12,0.24324324324324326,1,1
WP2431,Spinal cord injury,0.01699746921389607,15,92,13,0.16304347826086957,1,1
WP5117,Cohesin complex Cornelia de Lange syndrome,0.01785774559065514,8,32,14,0.25,1,1
WP4136,Fibrin complement receptor 3 signaling,0.02312478054758086,8,34,15,0.23529411764705882,1,1
WP558,Complement and coagulation cascades,0.02312478054758086,9,42,16,0.21428571428571427,1,2
WP2064,Neural crest differentiation,0.02779239111656727,13,80,17,0.1625,1,1
WP4016,DNA IR damage and cellular response via ATR,0.02779239111656727,13,80,18,0.1625,1,1
WP5095,Overview of proinflammatory and profibrotic mediators,0.02798339154073102,9,44,19,0.20454545454545456,1,1
WP5055,Burn wound healing,0.03162746535604851,11,63,20,0.1746031746031746,1,1
