ID,Description,p.adjust,k,stability,selected
WP4963,p53 transcriptional gene network,6.997388458606432e-10,31,1,TRUE
WP2446,Retinoblastoma gene in cancer,3.179054783617201e-9,31,1,TRUE
WP466,DNA replication,1.2082088657032216e-7,19,1,TRUE
WP707,DNA damage response,9.255996684905993e-6,22,1,TRUE
WP5218,Extrafollicular and follicular B cell activation by SARS CoV 2,5.959875010947866e-4,13,0.995,TRUE
WP2361,Gastric cancer network 1,8.515701303348957e-4,11,0.995,TRUE
WP619,Type II interferon signaling,8.515701303348957e-4,11,0.99,TRUE
WP58,Monoamine GPCRs,0.0044652023356707,8,0.995,TRUE
WP4016,DNA IR damage and cellular response via ATR,0.0044652023356707,19,0.99,TRUE
WP1971,Integrated cancer pathway,0.0044652023356707,13,0.985,TRUE
WP3391,Senescence associated secretory phenotype SASP,0.0044652023356707,18,0.99,TRUE
WP4197,Immune response to tuberculosis,0.00794342199385081,8,0.92,TRUE
WP5117,Cohesin complex Cornelia de Lange syndrome,0.01753231579977654,10,0.94,TRUE
WP455,GPCRs class A rhodopsin like,0.01855220810171735,19,0.98,TRUE
WP5055,Burn wound healing,0.02424427430235911,14,0.955,TRUE
WP5491,Transcriptional regulation of memory B cell differentiation,0.02424427430235911,10,0.955,TRUE
WP3982,miRNA regulation of p53 pathway in prostate cancer,0.02483542524889078,8,0.9,TRUE
