from,to,jaccard,k
WP4666,WP3932,0.15789473684210525,6
WP4666,WP4205,0.29411764705882354,5
WP4666,WP4172,0.18421052631578946,7
WP4666,WP4263,0.35294117647058826,6
WP4666,WP3929,0.16666666666666666,4
WP4666,WP4262,0.23809523809523808,5
WP4666,WP4630,0.3157894736842105,6
WP4666,WP710,0.25,5
WP4666,WP4217,0.15789473684210525,3
WP4666,WP2059,0.16129032258064516,5
WP4666,WP5124,0.16129032258064516,5
WP5083,WP4018,0.15384615384615385,4
WP5083,GO:0035556,0.16129032258064516,5
WP481,WP3915,0.5625,9
WP481,WP5087,0.17391304347826086,8
WP481,WP437,0.16129032258064516,5
WP481,WP4262,0.20833333333333334,5
WP481,WP710,0.16666666666666666,4
WP481,WP2380,0.25,6
WP481,WP1403,0.19047619047619047,4
WP2884,WP2882,0.5483870967741935,17
WP2884,WP702,0.18518518518518517,5
WP2882,WP2880,0.3548387096774194,11
WP702,GO:0006629,0.19047619047619047,4
WP35,WP3929,0.4444444444444444,8
WP35,WP289,0.3888888888888889,7
WP35,WP4223,0.23076923076923078,6
WP4321,WP3915,0.18181818181818182,4
WP4321,WP1403,0.18181818181818182,4
WP314,WP5115,0.17391304347826086,4
WP3915,WP5087,0.1951219512195122,8
WP3915,WP4263,0.16666666666666666,3
WP3915,WP4262,0.2,4
WP3915,WP710,0.15,3
WP3915,WP2380,0.19047619047619047,4
WP3915,WP1403,0.3333333333333333,5
WP3932,WP4172,0.7567567567567568,28
WP3932,WP5087,0.24561403508771928,14
WP3932,WP306,0.20454545454545456,9
WP3932,WP3929,0.17073170731707318,7
WP3932,WP5434,0.2463768115942029,17
WP3932,WP4223,0.17391304347826086,8
WP4205,WP306,0.24,6
WP4205,WP4263,0.23529411764705882,4
WP4205,WP3929,0.3,6
WP4205,WP51,0.16666666666666666,4
WP4205,WP4262,0.2631578947368421,5
WP4205,WP4630,0.15,3
WP4205,WP710,0.35294117647058826,6
WP4205,WP4217,0.17647058823529413,3
WP4205,WP4223,0.23076923076923078,6
WP4205,WP4396,0.1724137931034483,5
WP5115,WP4630,0.15384615384615385,4
WP4172,WP5087,0.2413793103448276,14
WP4172,WP306,0.22727272727272727,10
WP4172,WP4263,0.15789473684210525,6
WP4172,WP3929,0.1951219512195122,8
WP4172,WP5434,0.24285714285714285,17
WP4172,WP4223,0.1956521739130435,9
WP5087,WP306,0.17647058823529413,9
WP5087,WP4262,0.15217391304347827,7
WP5087,WP710,0.15555555555555556,7
WP5087,WP5434,0.1625,13
WP5355,WP4018,0.5333333333333333,8
WP5355,WP2525,0.17647058823529413,3
WP5355,WP4290,0.3333333333333333,5
WP306,WP3929,0.27586206896551724,8
WP306,WP51,0.18181818181818182,6
WP306,WP4262,0.16666666666666666,5
WP306,WP710,0.21428571428571427,6
WP306,WP4217,0.19230769230769232,5
WP306,WP2380,0.16129032258064516,5
WP306,WP4223,0.16216216216216217,6
WP306,GO:0030335,0.17142857142857143,6
WP437,WP3929,0.15625,5
WP437,WP2380,0.2857142857142857,8
WP437,WP1984,0.16666666666666666,5
WP4263,WP3929,0.17391304347826086,4
WP4263,WP4262,0.3157894736842105,6
WP4263,WP4630,0.2,4
WP4263,WP710,0.2,4
WP4263,WP4217,0.16666666666666666,3
WP4263,WP1984,0.25,5
WP4263,WP2059,0.16666666666666666,5
WP4263,WP5124,0.16666666666666666,5
WP4263,WP5434,0.18181818181818182,10
WP4263,WP1403,0.16666666666666666,3
WP4263,WP4223,0.17857142857142858,5
WP4263,GO:0051897,0.15,3
WP3929,WP51,0.21428571428571427,6
WP3929,WP4262,0.2,5
WP3929,WP289,0.24,6
WP3929,WP710,0.2608695652173913,6
WP3929,WP5434,0.1864406779661017,11
WP3929,WP4223,0.46153846153846156,12
WP51,WP710,0.19230769230769232,5
WP51,WP4217,0.21739130434782608,5
WP51,GO:0016477,0.16666666666666666,5
WP51,GO:0030335,0.15151515151515152,5
WP51,GO:0030036,0.2692307692307692,7
WP4018,WP4290,0.2777777777777778,5
WP2525,WP4673,0.17647058823529413,3
WP4262,WP710,0.42105263157894735,8
WP4262,WP2059,0.22580645161290322,7
WP4262,WP5124,0.22580645161290322,7
WP4262,WP5434,0.21428571428571427,12
WP4262,WP4223,0.16129032258064516,5
WP4630,WP710,0.18181818181818182,4
WP4630,WP4217,0.15,3
WP289,WP4223,0.15625,5
WP710,WP4217,0.15,3
WP710,WP2059,0.1935483870967742,6
WP710,WP5124,0.1935483870967742,6
WP710,WP4223,0.20689655172413793,6
WP710,WP4396,0.15625,5
WP4217,GO:0030335,0.25,6
WP2380,WP1984,0.16,4
WP2059,WP5124,1,24
WP2059,GO:0043161,0.16129032258064516,5
WP2059,GO:0016485,0.1724137931034483,5
WP5124,GO:0043161,0.16129032258064516,5
WP5124,GO:0016485,0.1724137931034483,5
WP5434,WP4223,0.1875,12
WP5473,GO:0007166,0.25,4
WP1403,WP4396,0.21428571428571427,6
WP1403,GO:0042593,0.25,4
WP1403,GO:0120162,0.15789473684210525,3
WP477,GO:0006364,0.23684210526315788,9
WP477,GO:0006412,0.9230769230769231,36
WP477,GO:0002181,0.9473684210526315,36
WP477,GO:0042274,0.2972972972972973,11
GO:0030308,GO:0051897,0.15789473684210525,3
GO:0007005,GO:0034599,0.25,5
GO:0035556,GO:0006468,0.21621621621621623,8
GO:0010628,GO:0030335,0.16279069767441862,7
GO:0006364,GO:0006412,0.23076923076923078,9
GO:0006364,GO:0002181,0.23684210526315788,9
GO:0006364,GO:0042274,0.3125,5
GO:0034599,GO:0042593,0.15,3
GO:0070374,GO:0051897,0.15789473684210525,3
GO:0001525,GO:0016525,0.15384615384615385,4
GO:0006412,GO:0002181,0.9736842105263158,37
GO:0006412,GO:0042274,0.2894736842105263,11
GO:0002181,GO:0042274,0.2972972972972973,11
