cluster,ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,agreement_q,absNES,in_consensus,solo_high_conf,final_reason,keep_final
1,WP2446,Retinoblastoma gene in cancer,UP,3.963782009137086e-8,4.422920167102434e-9,2.504922776138628,WP,87,3.963782009137086e-8,2.504922776138628,FALSE,TRUE,solo_high_conf,TRUE
2,WP466,DNA replication,UP,8.246567055000417e-7,4.662920523650056e-6,2.370159646665855,WP,41,4.662920523650056e-6,2.370159646665855,FALSE,TRUE,solo_high_conf,TRUE
3,GO:0007094,mitotic spindle assembly checkpoint signaling,UP,8.7828164670200815e-05,9.54513270550341e-7,2.3967262496671555,GO,16,8.7828164670200815e-05,2.3967262496671555,FALSE,TRUE,solo_high_conf,TRUE
9,GO:0007059,chromosome segregation,UP,7.87331087192153e-4,5.470621565002444e-7,2.466023075415497,GO,51,7.87331087192153e-4,2.466023075415497,FALSE,TRUE,solo_high_conf,TRUE
4,WP4016,DNA IR damage and cellular response via ATR,UP,0.00121800403368602,4.4934563629917825e-4,2.051814017505402,WP,81,0.00121800403368602,2.051814017505402,FALSE,TRUE,solo_high_conf,TRUE
1,WP4963,p53 transcriptional gene network,DOWN,1.9637172810263968e-5,2.395246417291455e-9,-2.614869617956586,WP,81,1.9637172810263968e-5,2.614869617956586,FALSE,TRUE,solo_high_conf,TRUE
2,WP5344,Cardiomyocyte signaling converging on titin,DOWN,0.00178180954905154,3.2155208768262615e-4,-2.2630786568222345,WP,29,0.00178180954905154,2.2630786568222345,FALSE,TRUE,solo_high_conf,TRUE
3,WP623,Oxidative phosphorylation,DOWN,0.00309625168481686,0.00168357184821645,-2.0616218411884843,WP,59,0.00309625168481686,2.0616218411884843,FALSE,TRUE,solo_high_conf,TRUE
6,GO:0006091,generation of precursor metabolites and energy,DOWN,0.03563831633460849,0.02458758615395154,-2.0731284580870244,GO,35,0.03563831633460849,2.0731284580870244,FALSE,TRUE,solo_high_conf,TRUE
5,GO:0032200,telomere organization,DOWN,0.01453888145552991,0.03730717849259761,-2.044157844013417,GO,12,0.03730717849259761,2.044157844013417,FALSE,TRUE,solo_high_conf,TRUE
