cluster,ID,Description,direction,camera_FDR,fgsea_padj,fgsea_NES,collection,set_size,agreement_q,absNES,in_consensus,solo_high_conf,keep_final
1,WP2446,Retinoblastoma gene in cancer,DOWN,1.472311746941922e-7,2.0757150529266946e-13,-2.6398389450825097,WP,87,1.472311746941922e-7,2.6398389450825097,FALSE,TRUE,TRUE
2,WP183,Proteasome degradation,DOWN,1.0491207641328006e-6,3.753648436794016e-7,-2.3143180708728663,WP,60,1.0491207641328006e-6,2.3143180708728663,FALSE,TRUE,TRUE
3,GO:0006487,NA,DOWN,4.633282354151047e-4,1.298747423655919e-5,-2.3092643892841163,GO,45,4.633282354151047e-4,2.3092643892841163,FALSE,TRUE,TRUE
4,WP2006,miR targeted genes in squamous cell,DOWN,0.00208171127482512,3.3216732488426256e-8,-2.221762283739636,WP,122,0.00208171127482512,2.221762283739636,FALSE,TRUE,TRUE
5,WP4016,DNA IR damage and cellular response via ATR,DOWN,0.00225953388918563,1.747323411365539e-6,-2.2375128664844173,WP,81,0.00225953388918563,2.2375128664844173,FALSE,TRUE,TRUE
6,GO:0007094,NA,DOWN,4.633282354151047e-4,3.337682994901455e-7,-2.4338601266000763,GO,16,4.633282354151047e-4,2.4338601266000763,FALSE,TRUE,TRUE
7,WP4784,Proteoglycan biosynthesis,DOWN,0.00225953388918563,0.00221425677140404,-2.058599474732046,WP,18,0.00225953388918563,2.058599474732046,FALSE,TRUE,TRUE
8,WP4290,Metabolic reprogramming in colon cancer,DOWN,0.00280503490363197,7.584983479093897e-4,-2.070593527320588,WP,41,0.00280503490363197,2.070593527320588,FALSE,TRUE,TRUE
9,WP3945,TYROBP causal network in microglia,DOWN,0.00365209260803182,0.00467053855221444,-1.868006750973611,WP,59,0.00467053855221444,1.868006750973611,FALSE,TRUE,TRUE
10,WP2361,Gastric cancer network 1,DOWN,0.00442106928481696,3.3626302104488066e-5,-2.2552661612194025,WP,26,0.00442106928481696,2.2552661612194025,FALSE,TRUE,TRUE
11,WP4786,Type I collagen synthesis in the context of osteogenesis imperfecta,DOWN,0.00461684515240141,0.00134837297375018,-2.020495511080015,WP,30,0.00461684515240141,2.020495511080015,FALSE,TRUE,TRUE
12,WP5546,22q11 2 distal CNV,DOWN,0.01795532499438418,3.820188533142795e-4,-1.8933823043517497,WP,95,0.01795532499438418,1.8933823043517497,FALSE,TRUE,TRUE
13,WP5049,Glycolysis in senescence,DOWN,0.01797240047935724,0.01798236084887259,-1.8557262231709972,WP,11,0.01798236084887259,1.8557262231709972,FALSE,TRUE,TRUE
14,WP4224,Purine metabolism and related disorders,DOWN,0.01900672346009296,0.03208671577209641,-1.814198145519361,WP,20,0.03208671577209641,1.814198145519361,FALSE,TRUE,TRUE
15,WP2911,miRNA targets in ECM and membrane receptors,DOWN,0.01989167073066728,0.0309363521693609,-1.794552156540545,WP,22,0.0309363521693609,1.794552156540545,FALSE,TRUE,TRUE
16,WP4022,Pyrimidine metabolism,DOWN,0.02008832826254375,0.00366881270998056,-1.802194800311189,WP,83,0.02008832826254375,1.802194800311189,FALSE,TRUE,TRUE
17,WP3888,VEGFA VEGFR2 signaling,DOWN,0.02182375779035421,2.6561092489844033e-10,-1.960526322983713,WP,422,0.02182375779035421,1.960526322983713,FALSE,TRUE,TRUE
18,WP3937,Microglia pathogen phagocytosis pathway,DOWN,0.02182375779035421,0.00139925647022411,-2.040005206384832,WP,40,0.02182375779035421,2.040005206384832,FALSE,TRUE,TRUE
19,WP2272,Pathogenic Escherichia coli infection,DOWN,0.02300868550453804,9.995207389949664e-4,-1.97894006554887,WP,50,0.02300868550453804,1.97894006554887,FALSE,TRUE,TRUE
20,WP3614,Photodynamic therapy induced HIF 1 survival signaling,DOWN,0.04160405025383594,0.00159617411335345,-2.038933282085564,WP,35,0.04160405025383594,2.038933282085564,FALSE,TRUE,TRUE
21,WP12,Osteoclast signaling,DOWN,0.04160405025383594,0.02899700061944815,-1.809334338947243,WP,14,0.04160405025383594,1.809334338947243,FALSE,TRUE,TRUE
22,WP2363,Gastric cancer network 2,DOWN,0.04478280835372007,0.03208671577209641,-1.7409496507016555,WP,30,0.04478280835372007,1.7409496507016555,FALSE,TRUE,TRUE
23,WP3646,Hepatitis C and hepatocellular carcinoma,DOWN,0.04632324261824196,0.02077012257842756,-1.728987770062563,WP,51,0.04632324261824196,1.728987770062563,FALSE,TRUE,TRUE
24,GO:0006457,NA,DOWN,4.633282354151047e-4,1.5047884572798389e-5,-2.229745264845046,GO,81,4.633282354151047e-4,2.229745264845046,FALSE,TRUE,TRUE
25,GO:0007052,NA,DOWN,0.00669383765724819,7.289685895677412e-5,-2.278643019673475,GO,33,0.00669383765724819,2.278643019673475,FALSE,TRUE,TRUE
26,GO:0019082,NA,DOWN,0.00669383765724819,0.01546808386875449,-1.9466637214279952,GO,26,0.01546808386875449,1.9466637214279952,FALSE,TRUE,TRUE
27,GO:0006888,NA,DOWN,0.00880434162490905,1.479410239736848e-4,-2.261860689529151,GO,36,0.00880434162490905,2.261860689529151,FALSE,TRUE,TRUE
28,GO:0035987,NA,DOWN,0.01235710769750761,1.995446939229736e-4,-2.2689410803187244,GO,27,0.01235710769750761,2.2689410803187244,FALSE,TRUE,TRUE
29,GO:0007088,NA,DOWN,0.01235710769750761,0.00109137279410155,-2.1197286965614786,GO,11,0.01235710769750761,2.1197286965614786,FALSE,TRUE,TRUE
30,GO:0000070,NA,DOWN,0.01235710769750761,0.00129379415345477,-2.1175985613564214,GO,13,0.01235710769750761,2.1175985613564214,FALSE,TRUE,TRUE
31,GO:0000086,NA,DOWN,0.01547602753837957,3.762158901425623e-4,-2.1585198691253433,GO,32,0.01547602753837957,2.1585198691253433,FALSE,TRUE,TRUE
32,GO:0006418,NA,DOWN,0.02047172507494186,0.03364459541776345,-1.8708751622490991,GO,11,0.03364459541776345,1.8708751622490991,FALSE,TRUE,TRUE
33,GO:0007059,NA,DOWN,0.0271820227202381,4.994412435051348e-5,-2.2151879976223787,GO,51,0.0271820227202381,2.2151879976223787,FALSE,TRUE,TRUE
34,GO:0034314,NA,DOWN,0.02992638767661888,0.0080654509013203,-1.9948320841077205,GO,12,0.02992638767661888,1.9948320841077205,FALSE,TRUE,TRUE
35,GO:0007080,NA,DOWN,0.04025532873176839,0.00213268804254042,-2.089606296161602,GO,22,0.04025532873176839,2.089606296161602,FALSE,TRUE,TRUE
36,GO:0090307,NA,DOWN,0.04262412191282408,1.479410239736848e-4,-2.308392555993418,GO,25,0.04262412191282408,2.308392555993418,FALSE,TRUE,TRUE
